"id","status","template_id","accession_number","attempts","created_at"
170,completed,96,"514374",3,2022-06-20 12:24:04.800 +0930
169,completed,96,"514370",3,2022-06-20 12:19:26.386 +0930
167,completed,96,"514367",4,2022-06-20 12:04:58.176 +0930
200,completed,96,"514586",3,2022-06-21 13:08:11.741 +0930
202,completed,96,"514593",3,2022-06-21 13:26:00.339 +0930
236,completed,100,"514891",3,2022-06-23 10:48:24.918 +0930
141,completed,100,"514179",2,2022-06-17 13:43:59.631 +0930
194,completed,100,"514567",1,2022-06-21 11:55:46.182 +0930
237,completed,100,"514903",2,2022-06-23 11:19:50.703 +0930
142,completed,96,"514187",4,2022-06-17 13:52:45.999 +0930
241,completed,100,"514923",2,2022-06-23 12:19:41.858 +0930
240,completed,110,"514918",3,2022-06-23 12:07:07.218 +0930
157,completed,110,"514291",3,2022-06-20 09:48:13.210 +0930
172,completed,100,"514410",2,2022-06-20 14:18:25.230 +0930
154,completed,96,"514276",4,2022-06-20 09:14:03.012 +0930
173,completed,100,"514412",2,2022-06-20 14:22:48.330 +0930
243,completed,96,"514933",3,2022-06-23 12:42:02.738 +0930
215,completed,100,"514708",3,2022-06-22 10:16:53.976 +0930
238,completed,96,"514907",4,2022-06-23 11:23:13.543 +0930
144,completed,110,"514208",2,2022-06-17 14:56:13.447 +0930
145,completed,100,"514212",2,2022-06-17 15:01:56.154 +0930
214,completed,99,"514706",4,2022-06-22 10:09:01.244 +0930
156,failed,110,"514287",8,2022-06-20 09:40:15.467 +0930
182,completed,110,"514470",4,2022-06-20 16:57:35.647 +0930
184,completed,96,"514479",3,2022-06-20 17:35:02.206 +0930
159,failed,100,"514306",8,2022-06-20 10:08:21.814 +0930
210,completed,100,"514645",3,2022-06-21 16:08:54.454 +0930
196,completed,100,"514572",2,2022-06-21 12:01:56.492 +0930
171,completed,99,"514406",4,2022-06-20 14:06:52.385 +0930
175,completed,110,"514423",2,2022-06-20 14:56:02.589 +0930
193,completed,96,"514552",4,2022-06-21 11:22:19.284 +0930
192,completed,96,"514550",4,2022-06-21 11:21:37.311 +0930
183,completed,96,"514476",4,2022-06-20 17:17:16.764 +0930
148,completed,100,"514237",2,2022-06-17 16:03:21.179 +0930
162,completed,100,"514326",1,2022-06-20 10:44:26.536 +0930
161,completed,99,"514317",3,2022-06-20 10:26:28.260 +0930
160,completed,96,"514311",4,2022-06-20 10:11:30.925 +0930
146,completed,100,"514218",4,2022-06-17 15:13:10.858 +0930
204,completed,96,"514605",2,2022-06-21 13:57:34.435 +0930
174,failed,100,"514414",8,2022-06-20 14:33:34.319 +0930
149,completed,100,"514246",2,2022-06-17 16:17:21.491 +0930
136,failed,96,"514149",8,2022-06-17 11:42:06.540 +0930
147,completed,100,"514236",4,2022-06-17 16:01:07.592 +0930
177,failed,96,"514444",8,2022-06-20 15:49:32.063 +0930
242,completed,110,"514932",3,2022-06-23 12:34:41.586 +0930
199,completed,96,"514585",4,2022-06-21 13:03:24.533 +0930
150,completed,100,"514261",2,2022-06-17 17:17:24.935 +0930
180,failed,96,"514455",8,2022-06-20 16:06:44.114 +0930
198,completed,100,"514581",2,2022-06-21 12:48:45.328 +0930
244,completed,110,"514937",4,2022-06-23 13:12:45.461 +0930
163,completed,100,"514338",3,2022-06-20 11:04:33.972 +0930
245,completed,96,"514946",3,2022-06-23 13:43:01.167 +0930
152,completed,100,"514264",2,2022-06-17 17:36:16.068 +0930
246,completed,96,"514961",1,2022-06-23 14:17:45.815 +0930
185,completed,100,"514491",3,2022-06-21 09:01:57.705 +0930
252,completed,100,"514986",2,2022-06-23 15:32:31.107 +0930
203,completed,96,"514599",3,2022-06-21 13:53:28.827 +0930
158,completed,96,"514302",5,2022-06-20 10:01:01.842 +0930
211,completed,100,"514661",2,2022-06-21 16:56:15.699 +0930
191,completed,96,"514548",5,2022-06-21 11:12:56.696 +0930
197,completed,96,"514573",4,2022-06-21 12:04:28.798 +0930
155,completed,96,"514286",5,2022-06-20 09:34:50.779 +0930
176,completed,100,"514437",4,2022-06-20 15:21:30.554 +0930
221,completed,100,"514752",3,2022-06-22 13:10:59.173 +0930
186,completed,100,"514516",3,2022-06-21 09:53:38.285 +0930
250,completed,96,"514982",3,2022-06-23 15:22:00.202 +0930
247,completed,100,"514976",2,2022-06-23 15:03:24.269 +0930
249,completed,100,"514979",2,2022-06-23 15:12:36.767 +0930
178,completed,100,"514446",3,2022-06-20 15:53:07.872 +0930
206,completed,100,"514622",2,2022-06-21 14:48:25.088 +0930
179,completed,100,"514447",3,2022-06-20 15:55:36.421 +0930
195,failed,110,"514569",8,2022-06-21 12:00:13.896 +0930
207,completed,96,"514629",2,2022-06-21 14:55:49.118 +0930
248,completed,100,"514978",3,2022-06-23 15:09:49.169 +0930
251,completed,100,"514984",2,2022-06-23 15:28:22.574 +0930
212,completed,96,"514666",4,2022-06-21 17:12:55.297 +0930
